iter	Passed	Remaining
0	2	286
1	5	260
2	7	251
3	9	236
4	12	238
5	15	238
6	17	239
7	20	236
8	23	233
9	25	231
10	28	230
11	30	227
12	33	224
13	36	222
14	38	219
15	41	216
16	43	214
17	46	212
18	49	210
19	51	207
20	54	204
21	57	202
22	59	200
23	62	197
24	64	194
25	67	191
26	69	189
27	72	187
28	75	184
29	77	181
30	80	178
31	82	176
32	85	173
33	87	170
34	90	167
35	92	165
36	95	161
37	97	158
38	99	154
39	100	151
40	102	148
41	103	142
42	105	139
43	106	136
44	108	132
45	110	129
46	111	125
47	112	122
48	113	118
49	115	115
50	116	111
51	117	108
52	118	105
53	119	102
54	120	98
55	121	95
56	122	92
57	123	89
58	124	86
59	125	83
60	126	80
61	127	78
62	128	75
63	129	72
64	130	70
65	131	67
66	132	65
67	133	62
68	134	60
69	135	57
70	136	55
71	137	53
72	137	50
73	138	48
74	139	46
75	140	44
76	141	42
77	141	40
78	142	37
79	143	35
80	144	33
81	145	31
82	146	29
83	147	28
84	148	26
85	148	24
86	149	22
87	150	20
88	151	18
89	152	16
90	153	15
91	154	13
92	155	11
93	156	9
94	157	8
95	158	6
96	159	4
97	160	3
98	160	1
99	161	0
